fluid,topo,case,Re,source,G,cF_meas,darcy_frac,A_used
water,Diamond,工况8,402.1028011561603,,111.56094276094275,1419.9190746774107,0.09308203076169952,0.000594
water,Diamond,工况9,486.79829920900113,,125.7016835016835,1338.3605613314248,0.08252239509622618,0.000594
water,Diamond,工况12,629.904312382586,,167.2855218855219,1135.9841980702515,0.07569496325580069,0.000594
water,Diamond,工况13,726.3521440359916,,181.3144781144781,1136.6170826987075,0.06627590959080343,0.000594
water,Diamond,工况14,816.6809960795766,,196.74074074074073,1136.3879882574709,0.05939202165107927,0.000594
water,Diamond,工况15,871.5846960791782,,210.6579124579125,1138.8214436052813,0.05574702119604324,0.000594
water,Diamond,工况16,954.4952229019523,,223.4851851851852,1163.5538303612195,0.0501195589524487,0.000594
water,Diamond,工况17,1010.976826313706,,237.48619528619525,1142.0410774849438,0.04830302163537558,0.000594
water,Diamond,工况18,1101.8500893745047,,251.37542087542087,1149.9232971841348,0.0442050496245864,0.000594
sco2,Diamond,1,9789.190266872334,,81.61434625030469,1911.3199907816008,0.003122318164720377,0.0005935859999999999
sco2,Diamond,2,14675.363506222304,,124.54655105121688,1448.2318825287325,0.002749746375654863,0.0005935859999999999
sco2,Diamond,3,19691.62343400869,,166.40829273305224,1493.4891765583307,0.001988691032070452,0.0005935859999999999
sco2,Diamond,4,24518.253125100426,,209.37030457119175,1449.40821500944,0.001646340363099668,0.0005935859999999999
sco2,Diamond,5,30171.13829746202,,251.47142671938627,1586.1728661758625,0.0012230430852840427,0.0005935859999999999
sco2,Diamond,6,35154.293724460185,,298.19582848587925,1499.61035287542,0.0011103915356103574,0.0005935859999999999
sco2,Diamond,7,40847.70195087056,,341.04444705624246,1485.0102431853493,0.000965159324465688,0.0005935859999999999
sco2,Diamond,8,9731.765771078788,,81.76810902195263,1584.0656452183043,0.0037870654238277403,0.0005935859999999999
sco2,Diamond,9,14674.797802692274,,125.44850098507021,1515.8413547160715,0.002627525597295442,0.0005935859999999999
sco2,Diamond,10,19309.620863506912,,167.23339492640386,1537.333193348526,0.0019702312304180447,0.0005935859999999999
sco2,Diamond,11,24250.646308226787,,207.7671874226318,1546.24859076036,0.0015603952506031268,0.0005935859999999999
sco2,Diamond,12,28984.873601998952,,251.1448366837793,1509.363105343563,0.0013377315051476498,0.0005935859999999999
sco2,Diamond,13,34553.2426909075,,295.7705898370773,1464.3665044513193,0.0011568422900773484,0.0005935859999999999
sco2,Diamond,14,9331.652222419762,,81.35440076641524,1379.6526319650093,0.004531216379476301,0.0005935859999999999
sco2,Diamond,15,14059.986116854892,,124.96447950740054,1425.206170279015,0.0029159805606896326,0.0005935859999999999
sco2,Diamond,16,18871.078258061083,,166.29179325684382,1521.633945377543,0.002036681549661251,0.0005935859999999999
sco2,Diamond,17,23381.702502593664,,208.77089980783467,1526.8113551017223,0.0016388590793959682,0.0005935859999999999
sco2,Diamond,18,28223.264441620937,,251.2984436046212,1516.9350399445518,0.0013669328127449986,0.0005935859999999999
sco2,Diamond,19,34407.501693557635,,297.23396705553614,1477.232900512935,0.0011516298370078764,0.0005935859999999999
sco2,Diamond,20,9031.677576274667,,81.64320028397012,1550.3538782402375,0.004167756841104428,0.0005935859999999999
sco2,Diamond,21,13901.103663450118,,125.0664190843391,1464.425588118715,0.002870453059079022,0.0005935859999999999
sco2,Diamond,22,18411.51448807646,,166.78011033687363,1465.6008293088505,0.002167045755165989,0.0005935859999999999
sco2,Diamond,23,22862.381952408632,,207.17634259522046,1512.9218090528705,0.0016913843748910167,0.0005935859999999999
sco2,Diamond,24,27847.88669287886,,250.83876634610235,1498.1886954907138,0.001402642867856112,0.0005935859999999999
sco2,Diamond,25,9464.187678249797,,81.90475993772046,1965.6777303865053,0.0031401752520731504,0.0005935859999999999
sco2,Diamond,26,14278.562844165277,,125.54394138686479,1590.5312844753864,0.002573768770104854,0.0005935859999999999
sco2,Diamond,27,18894.33353352363,,166.50658043937926,1579.8626396783839,0.0019593534086135827,0.0005935859999999999
sco2,Diamond,28,23727.79079163538,,208.25712377295878,1575.6868240547287,0.0015649773382316171,0.0005935859999999999
sco2,Diamond,29,28316.26697515534,,251.37445754627325,1548.1938639617315,0.0013349775229801195,0.0005935859999999999
sco2,Diamond,30,32513.14460557691,,289.25040299456884,1505.2420323517122,0.0011959978960489474,0.0005935859999999999
sco2,Diamond,31,9179.062892214988,,81.7997337667613,1882.8411687400633,0.0033793510135579504,0.0005935859999999999
sco2,Diamond,32,13852.815149067681,,125.61126265869099,1574.8009639474053,0.0026790860917449634,0.0005935859999999999
sco2,Diamond,33,18190.083883164138,,167.79975990010018,1558.9523445459054,0.0020622976356386214,0.0005935859999999999
