fluid,topology,L_mm,t_mm,sK,sF,packaged_sF,n,rmsre,bias,darcy_fraction_median,identifiability,source,filter,status,scope,n_total,n_excluded,n_outside_scope,excluded_cases,outside_scope_cases,A_flow_m2,L_flow_m,u_min_mps,u_max_mps,campaign,evaluation,sheet,excel_rows
air,Diamond,8.0,0.4,1.0,2.7662611615506574,2.7662611615506574,14,0.031212830895845166,-0.00148887939648386,0.032677472463010726,K weak; fixed at CFD K0,experiments/air/air_DG_specimen_experiment_summary.xlsx,L8 Re>=1600,approved,core-calibrated,,,,,,,,,,,,,
air,Diamond,8.0,0.5,1.0,2.526747036629653,2.526747036629653,13,0.0219459837490368,-0.0007767010702065194,0.028350665398142374,K weak; fixed at CFD K0,experiments/air/air_DG_specimen_experiment_summary.xlsx,L8 Re>=1600,approved,core-calibrated,,,,,,,,,,,,,
air,Gyroid,4.0,0.3,1.0,2.4035910470794186,,11,0.3295244563457819,-0.11712846250495809,0.03770794456577702,K weak; fixed at CFD K0,experiments/air/air_DG_specimen_experiment_summary.xlsx,original valid rows,high_uncertainty,core-calibrated,,,,,,,,,,,,,
air,Gyroid,4.0,0.4,1.0,2.9396016894063353,,10,0.32162305249672163,-0.11161976872646262,0.039972136788423415,K weak; fixed at CFD K0,experiments/air/air_DG_specimen_experiment_summary.xlsx,original valid rows,high_uncertainty,core-calibrated,,,,,,,,,,,,,
air,Gyroid,4.0,0.5,1.0,2.316835529950189,,8,0.2684194917471464,-0.07787196383213758,0.04374508501982033,K weak; fixed at CFD K0,experiments/air/air_DG_specimen_experiment_summary.xlsx,original valid rows,high_uncertainty,core-calibrated,,,,,,,,,,,,,
air,Gyroid,5.0,0.3,1.0,1.233558264961759,,16,0.301574503058342,-0.10768565543408934,0.06517113769308436,K weak; fixed at CFD K0,experiments/air/air_DG_specimen_experiment_summary.xlsx,original valid rows,high_uncertainty,core-calibrated,,,,,,,,,,,,,
air,Gyroid,5.0,0.4,1.0,1.21354111180202,,15,0.2947440940997752,-0.10353122515149073,0.0710812742129266,K weak; fixed at CFD K0,experiments/air/air_DG_specimen_experiment_summary.xlsx,original valid rows,high_uncertainty,core-calibrated,,,,,,,,,,,,,
air,Gyroid,5.0,0.5,1.0,1.0586498092158383,,15,0.30563831852107065,-0.11385052426376359,0.08379991734173176,K weak; fixed at CFD K0,experiments/air/air_DG_specimen_experiment_summary.xlsx,original valid rows,high_uncertainty,core-calibrated,,,,,,,,,,,,,
air,Gyroid,6.0,0.3,1.0,2.595103360467214,2.595103360467214,18,0.02269002272162731,-0.0007210548426313647,0.0433356654799562,K weak; fixed at CFD K0,experiments/air/air_DG_specimen_experiment_summary.xlsx,original valid rows,approved,core-calibrated,,,,,,,,,,,,,
air,Gyroid,6.0,0.4,1.0,2.6654645622107345,2.6654645622107345,17,0.04178464555419526,-0.0030737633845400116,0.04916951861596378,K weak; fixed at CFD K0,experiments/air/air_DG_specimen_experiment_summary.xlsx,original valid rows,approved,core-calibrated,,,,,,,,,,,,,
air,Gyroid,6.0,0.5,1.0,2.7426283331795624,2.7426283331795624,16,0.04074546545832269,-0.0030254108021112724,0.05656730328258312,K weak; fixed at CFD K0,experiments/air/air_DG_specimen_experiment_summary.xlsx,original valid rows,approved,core-calibrated,,,,,,,,,,,,,
air,Gyroid,8.0,0.3,1.0,1.433170781897824,1.433170781897824,20,0.03118736400729998,-0.0012711844601908662,0.03036108608503059,K weak; fixed at CFD K0,experiments/air/air_DG_specimen_experiment_summary.xlsx,L8 Re>=1600,approved,core-calibrated,,,,,,,,,,,,,
air,Gyroid,8.0,0.4,1.0,1.4103961069169382,1.4103961069169382,19,0.04275653322758876,-0.0007388661316045244,0.03616522935014801,K weak; fixed at CFD K0,experiments/air/air_DG_specimen_experiment_summary.xlsx,L8 Re>=1600,approved,core-calibrated,,,,,,,,,,,,,
air,Gyroid,8.0,0.5,1.0,1.3503861318521013,1.3503861318521013,18,0.028657315356033473,-0.000754480764256154,0.04238100655533891,K weak; fixed at CFD K0,experiments/air/air_DG_specimen_experiment_summary.xlsx,L8 Re>=1600,approved,core-calibrated,,,,,,,,,,,,,
sco2,Diamond,7.0,0.6,1.0,6.313005350332494,6.313005350332494,51,0.06192599291152593,-0.016353834365415872,0.0019702312304180447,K unidentifiable; fixed at CFD K0,experiments/sco2/sco2_DG7-t0p6_hx_experiment_summary.xlsx,hot side & ok_dp; require 0.582666<=u_in<=2.53961 m/s,approved,HX-effective,51.0,0.0,0.0,,,0.0005935859999999999,0.182,0.5826657772921353,2.53960962894522,sco2-hx-hot-ok-dp,frozen sF; corrected absolute pressure; no refit,,
sco2,Gyroid,7.0,0.6,1.0,7.608907691857889,7.608907691857889,44,0.040982704241786176,-0.014616742780869761,0.00180744901283148,K unidentifiable; fixed at CFD K0,experiments/sco2/sco2_DG7-t0p6_hx_experiment_summary.xlsx,hot side & ok_dp; require 0.611981<=u_in<=2.47046 m/s,approved,HX-effective,44.0,0.0,0.0,,,0.0006491520000000001,0.182,0.6119811082039116,2.470456518760552,sco2-hx-hot-ok-dp,frozen sF; corrected absolute pressure; no refit,,
water,Diamond,7.0,0.6,1.0,4.892779870412083,4.892779870412083,9,0.06838926916238654,-0.005897821557135635,0.057342340162101685,K fixed at production CFD K0,experiments/water_air/water-air_DG7-t0p6_hx_water-dp_with-air-temperature.xlsx,exclude dp_nonphysical and duplicate_row; fit only 0.1<=u<=0.254055 m/s,approved,HX-effective,18.0,2.0,7.0,工况10:duplicate_row;工况11:duplicate_row,工况1;工况2;工况3;工况4;工况5;工况6;工况7,0.000594,0.182,0.1,0.25405479940574704,water-air-hx-7-6,,,
water,Gyroid,7.0,0.6,1.0,4.198913430360186,4.198913430360186,11,0.009341008837567524,1.7283590882468467e-05,0.0859345423083763,K fixed at production CFD K0,experiments/water_air/water-air_DG7-t0p6_hx_water-dp_with-air-temperature.xlsx,exclude dp_nonphysical and duplicate_row; fit only 0.1<=u<=0.223217 m/s,approved,HX-effective,16.0,1.0,4.0,工况1:dp_nonphysical,工况2;工况3;工况4;工况5,0.00065,0.182,0.1,0.2232167044622796,water-air-hx-7-6,,,
air,Diamond,7.0,0.6,1.0,1.8024228153853061,1.8024228153853061,15,0.03709788655342852,-0.0043919640919972466,0.032319531984113206,K fixed at production CFD K0,experiments/water_air/water-air_D7-t0p6_experiment_water-straight_20260609.xlsx,exclude dp_floor and duplicate_row; require 7.6566<=u<=22.7599 m/s,approved,HX-effective,18.0,3.0,,工况1:dp_floor;工况10:duplicate_row;工况11:duplicate_row,,0.000594,0.182,7.656604926203154,22.759887982116293,water-air-hx-7-6,,Sheet1,4;5;6;7;8;9;10;11;14;15;16;17;18;19;20
air,Gyroid,7.0,0.6,1.0,2.6490102869886876,2.649010286988306,15,0.020687757984488152,0.0007076792568473526,0.01896059518409837,K fixed at production CFD K0,experiments/water_air/water-air_G7-t0p6_shanghai_experiment_20260401.xlsx,exclude dp_floor and duplicate_row; require 8.02611<=u<=22.442 m/s,approved,HX-effective,16.0,1.0,,工况1:dp_floor,,0.00065,0.182,8.026110584256458,22.441995588974073,shanghai-air-straight-20260401-v1,,Sheet1,4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
